Company,TypeName,Inches,Ram,Gpu,OpSys,Weight,ScreenType,PPI,SSD_GB,Cpu_Brand,Cpu_Family,Cpu_Clockspeed,target
Asus,Ultrabook,15.6,16,Nvidia GeForce GTX 940MX,Windows,1.63,Standard,141.21,512,Intel,Core i7,2.7,1468.0
Dell,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,2.62,Standard,282.42,512,Intel,Core i7,2.8,1679.0
Dell,Notebook,17.3,8,AMD Radeon R7 M445,Linux,2.83,Standard,127.34,0,Intel,Core i7,2.7,865.0
HP,Workstation,15.6,8,Nvidia Quadro M1000M,Windows,2.59,IPS Panel,141.21,256,Intel,Core i7,2.6,2229.0
HP,2 in 1 Convertible,13.3,8,Intel HD Graphics 520,Windows,1.48,Standard,165.63,256,Intel,Core i5,2.4,1629.0
Toshiba,Notebook,15.6,4,Intel HD Graphics 520,Windows,2.1,Standard,100.45,128,Intel,Core i3,2.1,498.0
Asus,Gaming,15.6,16,Nvidia GeForce GTX 1070,Windows,2.2,Standard,141.21,256,Intel,Core i7,2.8,2449.0
Lenovo,Ultrabook,12.5,8,Intel HD Graphics 620,Windows,1.36,IPS Panel,176.23,256,Intel,Core i5,2.5,1429.0
Acer,Notebook,15.6,4,Intel HD Graphics 500,Windows,2.1,Standard,100.45,0,Intel,Celeron Dual Core,2.0,333.0
Dell,Notebook,13.3,4,Intel HD Graphics 520,Windows,1.65,Standard,117.83,0,Intel,Core i3,2.0,849.0
Lenovo,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows,2.4,IPS Panel,141.21,0,Intel,Core i5,2.5,819.0
Other,Ultrabook,13.3,8,Intel HD Graphics 620,Windows,0.81,Standard,165.63,256,Intel,Core i5,2.5,1499.0
MSI,Gaming,17.3,16,Nvidia GeForce GTX 1060,Windows,2.43,IPS Panel,254.67,512,Intel,Core i7,2.6,2649.0
Acer,Notebook,15.6,4,Intel HD Graphics,Chrome OS,2.2,Standard,100.45,16,Intel,Celeron Dual Core,1.5,209.0
Lenovo,2 in 1 Convertible,14.0,16,Intel HD Graphics 520,Windows,1.36,Standard,209.8,512,Intel,Core i7,2.6,2499.0
Lenovo,Notebook,15.6,8,Nvidia Quadro M2200M,Windows,2.67,Standard,141.21,256,Intel,Core i7,2.9,2090.0
Lenovo,Notebook,17.3,6,Nvidia GeForce GTX 940MX,Windows,2.8,Standard,106.11,128,Intel,Core i5,2.5,719.0
Asus,Notebook,15.6,4,AMD Radeon R5 M430,Windows,2.2,Standard,141.21,128,AMD,A10-Series,2.5,575.0
Lenovo,Notebook,15.6,4,Nvidia GeForce 920MX,Windows,2.2,Standard,141.21,0,Intel,Core i3,2.0,468.0
Other,Notebook,15.6,16,Nvidia GeForce MX150,No OS,1.95,IPS Panel,141.21,256,Intel,Core i7,1.8,1399.95
HP,Notebook,15.6,8,Intel HD Graphics 620,No OS,1.86,Standard,141.21,256,Intel,Core i5,2.5,575.0
Apple,Ultrabook,15.4,16,Intel Iris Pro Graphics,Mac OS,2.04,IPS Panel Retina Display,220.53,0,Intel,Core i7,2.2,2139.97
Asus,2 in 1 Convertible,15.6,12,Nvidia GeForce GT 940MX,Windows,2.26,Standard,141.21,512,Intel,Core i7,2.7,1099.0
Dell,Ultrabook,13.3,16,Intel UHD Graphics 620,Windows,1.21,IPS Panel,331.26,1024,Intel,Core i7,1.8,2499.0
HP,Netbook,12.5,4,Intel HD Graphics 520,Windows,2.4,Standard,125.37,128,Intel,Core i5,2.3,1599.0
Acer,Notebook,15.6,4,Intel HD Graphics 620,Windows,2.4,Standard,141.21,0,Intel,Core i3,2.4,499.0
Lenovo,Ultrabook,14.0,8,Intel HD Graphics 520,Windows,1.7,Standard,157.35,256,Intel,Core i7,2.6,1499.0
Dell,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows,3.21,Standard,141.21,128,Intel,Core i5,2.5,2051.0
Lenovo,Notebook,15.6,6,Nvidia GeForce 920MX,Windows,2.4,Standard,141.21,256,Intel,Core i5,2.5,695.0
Dell,Ultrabook,13.3,8,AMD Radeon 530,Windows,1.4,IPS Panel,165.63,256,Intel,Core i7,1.8,931.88
HP,Notebook,15.6,8,Nvidia GeForce GTX 930MX,Windows,2.04,Standard,100.45,0,Intel,Core i5,2.5,846.5
Dell,Notebook,15.6,8,AMD Radeon 530,Windows,2.2,Standard,141.21,256,Intel,Core i5,1.6,800.0
MSI,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows,2.2,Standard,141.21,128,Intel,Core i7,2.8,1149.0
Dell,2 in 1 Convertible,13.3,16,Intel HD Graphics 615,Windows,1.22,Standard,276.05,512,Intel,Core i7,1.3,1899.0
Dell,Ultrabook,13.3,4,AMD Radeon 530,Windows,1.4,IPS Panel,165.63,256,Intel,Core i5,1.6,818.35
HP,Notebook,17.3,8,Nvidia GeForce GTX 930MX,Windows,2.63,Standard,127.34,256,Intel,Core i5,2.5,1080.0
HP,Notebook,15.6,4,Intel HD Graphics 620,Windows,2.1,Standard,141.21,128,Intel,Core i3,2.4,705.5
MSI,Gaming,15.6,8,Nvidia GeForce GTX 960M,Windows,2.4,Standard,141.21,128,Intel,Core i7,2.6,1229.0
Asus,2 in 1 Convertible,13.3,8,Intel HD Graphics 620,Windows,1.1,Standard,165.63,256,Intel,Core i5,2.5,1358.0
HP,Notebook,13.3,8,Intel HD Graphics 620,Windows,1.49,Standard,165.63,256,Intel,Core i5,2.5,960.0
Toshiba,Notebook,15.6,16,Nvidia GeForce 930M,Windows,2.4,IPS Panel,141.21,512,Intel,Core i7,2.5,1403.0
Lenovo,Gaming,17.3,16,Nvidia GeForce GTX 980M,Windows,4.6,IPS Panel,127.34,256,Intel,Core i7,2.7,2749.99
HP,Notebook,15.6,6,AMD Radeon 530,Windows,2.1,Standard,141.21,0,AMD,A12-Series,2.7,529.0
HP,Notebook,15.6,8,AMD Radeon R4 Graphics,Windows,1.91,Standard,100.45,128,AMD,A6-Series,2.5,445.9
Asus,Gaming,17.3,8,Nvidia GeForce GTX 1050,Windows,3.0,Standard,127.34,0,Intel,Core i7,2.8,1187.0
Dell,Notebook,15.6,4,Intel HD Graphics 520,Windows,2.3,Standard,100.45,0,Intel,Core i3,2.0,418.64
Dell,Ultrabook,15.6,8,Nvidia GeForce GTX 940MX,Windows,1.9,IPS Panel,141.21,128,Intel,Core i5,1.6,1049.0
Dell,Notebook,15.6,2,Intel HD Graphics,Windows,2.2,Standard,100.45,0,Intel,Celeron Dual Core,1.6,379.0
Asus,Gaming,17.3,8,AMD Radeon RX 580,Windows,3.2,Standard,127.34,256,AMD,Ryzen,3.0,1299.0
HP,Notebook,14.0,8,Intel HD Graphics 620,Windows,1.95,Standard,157.35,256,Intel,Core i5,2.5,980.0
Lenovo,Notebook,15.6,4,Intel HD Graphics 520,Windows,1.85,Standard,141.21,0,Intel,Core i3,2.0,414.9
Acer,Notebook,14.0,4,Intel HD Graphics 400,Chrome OS,1.68,Standard,111.94,0,Intel,Celeron Dual Core,1.6,349.0
Dell,Notebook,15.6,8,AMD Radeon R5 520,Windows,2.13,Standard,141.21,256,Intel,Core i7,1.8,767.8
HP,Notebook,15.6,8,AMD Radeon R7 M465,Windows,1.84,Standard,141.21,256,Intel,Core i5,2.6,1349.0
Lenovo,Notebook,15.6,8,Intel HD Graphics 620,No OS,2.2,Standard,141.21,256,Intel,Core i5,2.5,549.0
Acer,Notebook,15.6,6,Intel HD Graphics 620,Windows,2.1,IPS Panel,141.21,0,Intel,Core i3,2.4,479.0
Dell,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,2.62,Standard,141.21,256,Intel,Core i7,2.8,1479.0
Asus,Notebook,15.6,8,Nvidia GeForce GTX 960M,Windows,2.0,IPS Panel,282.42,256,Intel,Core i7,2.7,1299.0
MSI,Gaming,17.3,16,Nvidia GeForce GTX 980M,Windows,4.5,Standard,127.34,128,Intel,Core i7,2.7,2349.0
Dell,Notebook,15.6,8,AMD Radeon 530,Windows,2.2,Standard,141.21,256,Intel,Core i7,1.8,870.0
Lenovo,Workstation,15.6,8,Nvidia Quadro M1200,Windows,2.67,Standard,141.21,512,Intel,Core i7,2.8,1925.0
Dell,Gaming,15.6,16,Nvidia GeForce GTX 960M,Windows,2.72,IPS Panel,282.42,128,Intel,Core i7,2.6,1099.0
HP,Notebook,17.3,8,Nvidia GeForce GTX 930MX,Windows,2.63,Standard,106.11,0,Intel,Core i5,2.5,910.0
Other,Notebook,15.6,8,Intel HD Graphics 620,Windows,2.2,Standard,100.45,0,Intel,Core i5,2.5,739.0
Lenovo,Notebook,14.0,4,Intel HD Graphics 620,Windows,1.7,IPS Panel,157.35,128,Intel,Core i3,2.7,599.0
Acer,2 in 1 Convertible,11.6,4,Intel HD Graphics 500,Windows,1.25,IPS Panel,189.91,0,Intel,Celeron Dual Core,2.0,349.0
HP,Ultrabook,14.0,8,Intel HD Graphics 520,Windows,1.54,Standard,157.35,256,Intel,Core i7,2.5,1887.21
Dell,Notebook,15.6,4,Intel HD Graphics,Windows,2.2,Standard,100.45,0,Intel,Pentium Quad Core,1.6,369.0
HP,Notebook,14.0,8,Intel HD Graphics 620,Windows,2.31,Standard,111.94,256,Intel,Core i5,2.6,1124.0
Asus,Ultrabook,14.0,16,Intel HD Graphics 620,Windows,1.1,Standard,157.35,512,Intel,Core i7,2.7,1900.0
Lenovo,Notebook,15.6,4,Nvidia GeForce 920MX,Windows,2.2,Standard,141.21,0,Intel,Core i7,2.7,799.0
Lenovo,Notebook,17.3,8,AMD Radeon R5 M330,Windows,3.0,Standard,106.11,0,Intel,Core i5,2.3,659.0
Lenovo,Notebook,14.0,4,Intel HD Graphics 500,Windows,1.44,Standard,111.94,0,Intel,Celeron Dual Core,1.1,292.0
Dell,Notebook,15.6,8,AMD Radeon R7 M445,Windows,2.5,Standard,100.45,0,Intel,Core i5,2.5,784.0
Lenovo,Notebook,15.6,6,Nvidia GeForce 920MX,Windows,2.4,Standard,141.21,128,Intel,Core i3,2.3,569.0
HP,2 in 1 Convertible,13.3,16,Intel UHD Graphics 620,Windows,1.29,IPS Panel,331.26,1024,Intel,Core i7,1.8,2449.0
Lenovo,2 in 1 Convertible,14.0,8,Intel HD Graphics 620,Windows,1.42,Standard,209.8,256,Intel,Core i7,2.7,2590.0
Dell,Notebook,15.6,4,Intel HD Graphics 520,Windows,2.18,Standard,100.45,0,Intel,Core i3,2.0,558.6
Asus,Notebook,15.6,4,Intel HD Graphics 500,Windows,2.0,Standard,100.45,0,Intel,Pentium Quad Core,1.1,304.0
